,year,category,economic_sectors,source,type,fuel_type,gas,value_mmtco2e
253,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.0022464459999999996
254,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.0013260429
255,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00207095364
256,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0008568525
257,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.011408188890000002
258,1993,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.0004290591272227229
259,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.08821146165999999
260,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.3137461639167276
261,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.28516698303133337
262,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00044546999999999995
263,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000812076
264,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000150102
265,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00030274599999999995
266,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00020158236
267,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0009186937199999998
268,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0005366549999999999
269,1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.0015374433899999998
