district,year,month,system_cost,system_count,rebate,capacity,date,rebate_eff(W/$),tech_cost($/W)
16,2023,9,89612.0,1,6000.0,16060.0,1/9/23,2.68,5.58
17,2023,9,268793.0,6,28797.5,93355.0,1/9/23,3.24,2.88
18,2023,9,45811.0,1,5880.0,8400.0,1/9/23,1.43,5.45
20,2023,9,93157.0,2,11460.0,22880.0,1/9/23,2.0,4.07
21,2023,9,110060.0,2,8268.0,32935.0,1/9/23,3.98,3.34
3,2023,10,589010.0,16,84557.5,146050.0,1/10/23,1.73,4.03
4,2023,10,63692.0,2,8331.0,18585.0,1/10/23,2.23,3.43
5,2023,10,48876.0,2,7924.0,13220.0,1/10/23,1.67,3.7
6,2023,10,97710.0,3,19529.5,27775.0,1/10/23,1.42,3.52
8,2023,10,582613.0,16,97986.0,144755.0,1/10/23,1.48,4.02
10,2023,10,942904.0,26,146156.0,275868.0,1/10/23,1.89,3.42
12,2023,10,22400.0,1,2800.0,4000.0,1/10/23,1.43,5.6
13,2023,10,507641.0,16,79525.0,140110.0,1/10/23,1.76,3.62
14,2023,10,153058.0,3,14120.0,28070.0,1/10/23,1.99,5.45
15,2023,10,43571.0,1,7884.0,9855.0,1/10/23,1.25,4.42
16,2023,10,28337.0,1,861.0,5740.0,1/10/23,6.67,4.94
17,2023,10,43514.0,1,6000.0,9200.0,1/10/23,1.53,4.73
18,2023,10,70744.0,1,6000.0,15795.0,1/10/23,2.63,4.48
20,2023,10,268250.0,9,52624.0,78035.0,1/10/23,1.48,3.44
21,2023,10,71175.0,1,6000.0,18400.0,1/10/23,3.07,3.87
